0,1,2,label
235.0,602453.0,24.53,00
235.1,1102453.0,24.53,00
235.2,82456.0,24.56,00
236.2,11112459.0,24.59,00
237.0,112459.0,24.59,00
237.2,6112462.0,24.62,00
238.0,112462.0,24.62,00
238.1,11112462.0,24.62,00
238.2,1102469.0,24.69,00
239.0,602464.0,24.64,00
239.1,1102469.0,24.69,00
240.1,602463.0,24.63,00
241.0,1102463.0,24.63,00
242.0,11112459.0,24.59,00
243.1,1102462.0,24.62,00
243.2,1102459.0,24.59,00
244.0,2459.0,24.59,00
245.0,112496.0,24.96,00
246.2,11112469.0,24.69,00
248.0,1102466.0,24.66,00
249.1,1102465.0,24.65,00
250.0,442469.0,24.69,00
250.1,602469.0,24.69,00
250.2,112465.0,24.65,00
251.1,6112465.0,24.65,00
251.2,2463.0,24.63,00
253.2,11112464.0,24.64,00
255.1,602455.0,24.55,00
256.0,1102451.0,24.51,00
256.2,2453.0,24.53,00
257.0,2453.0,24.53,00
257.2,11112454.0,24.54,00
258.0,112454.0,24.54,00
258.2,42452.0,24.52,00
259.0,1182452.0,24.52,00
259.1,6112452.0,24.52,00
263.1,1102455.0,24.55,00
264.1,11112456.0,24.56,00
264.2,1102459.0,24.59,00
265.0,2459.0,24.59,00
265.1,1102459.0,24.59,00
266.1,1182455.0,24.55,00
267.2,1102453.0,24.53,00
270.0,1102456.0,24.56,00
270.2,6112455.0,24.55,00
272.0,4112453.0,24.53,00
273.2,11112445.0,24.45,00
274.1,1102443.0,24.43,00
275.0,482449.0,24.49,00
278.0,1102462.0,24.62,00
278.1,4112462.0,24.62,00
279.0,6112464.0,24.64,00
280.0,682465.0,24.65,00
280.1,6112465.0,24.65,00
283.2,2473.0,24.73,00
285.0,11112476.0,24.76,00
290.0,112472.0,24.72,00
290.1,6112472.0,24.72,00
291.0,602463.0,24.63,00
291.1,602469.0,24.69,00
294.0,6112465.0,24.65,00
294.1,2465.0,24.65,00
296.0,6112469.0,24.69,00
296.2,6112465.0,24.65,00
297.2,6112466.0,24.66,00
300.1,602465.0,24.65,00
301.0,6112462.0,24.62,00
301.1,6112462.0,24.62,00
302.1,1102459.0,24.59,00
302.2,1102459.0,24.59,00
303.1,662459.0,24.59,00
305.0,602453.0,24.53,00
306.2,2453.0,24.53,00
311.0,602463.0,24.63,00
311.2,602469.0,24.69,00
1.0,2461.0,24.61,01
1.1,2463.0,24.63,01
1.2,2463.0,24.63,01
2.0,2468.0,24.68,01
2.1,2468.0,24.68,01
3.0,2463.0,24.63,01
3.1,2463.0,24.63,01
3.2,2463.0,24.63,01
4.0,2460.0,24.6,01
4.1,2460.0,24.6,01
4.2,2460.0,24.6,01
5.0,2463.0,24.63,01
5.1,2463.0,24.63,01
6.0,2465.0,24.65,01
6.1,2465.0,24.65,01
6.2,2465.0,24.65,01
7.0,2466.0,24.66,01
7.1,2466.0,24.66,01
7.2,2466.0,24.66,01
8.0,2469.0,24.69,01
8.2,21169.0,24.69,01
9.0,2463.0,24.63,01
9.1,2463.0,24.63,01
10.0,21166.0,24.66,01
10.1,2465.0,24.65,01
10.2,2466.0,24.66,01
11.0,2464.0,24.64,01
11.1,2464.0,24.64,01
12.2,2468.0,24.68,01
13.0,2465.0,24.65,01
13.1,2465.0,24.65,01
13.2,2465.0,24.65,01
14.2,2468.0,24.68,01
15.0,2462.0,24.62,01
15.1,2462.0,24.62,01
15.2,2462.0,24.62,01
16.0,2462.0,24.62,01
16.1,2462.0,24.62,01
16.2,2462.0,24.62,01
17.1,2468.0,24.68,01
18.0,2466.0,24.66,01
18.1,2466.0,24.66,01
18.2,2466.0,24.66,01
19.0,2465.0,24.65,01
19.1,2465.0,24.65,01
19.2,2465.0,24.65,01
20.1,2465.0,24.65,01
21.1,2469.0,24.69,01
21.2,2469.0,24.69,01
22.0,2469.0,24.69,01
22.2,2469.0,24.69,01
23.0,2466.0,24.66,01
23.1,2466.0,24.66,01
23.2,2466.0,24.66,01
24.0,2465.0,24.65,01
24.1,2465.0,24.65,01
24.2,2465.0,24.65,01
25.0,2466.0,24.66,01
25.1,21166.0,24.66,01
25.2,2466.0,24.66,01
26.0,2463.0,24.63,01
26.1,2463.0,24.63,01
26.2,2463.0,24.63,01
29.1,2463.0,24.63,01
29.2,2463.0,24.63,01
30.0,2463.0,24.63,01
30.1,2463.0,24.63,01
31.0,2482.0,24.82,01
31.1,2482.0,24.82,01
31.2,2482.0,24.82,01
32.0,2483.0,24.83,01
32.1,21183.0,24.83,01
33.0,2486.0,24.86,01
33.2,2486.0,24.86,01
34.1,2488.0,24.88,01
36.0,2485.0,24.85,01
36.1,2485.0,24.85,01
36.2,2485.0,24.85,01
37.0,2482.0,24.82,01
37.2,2482.0,24.82,01
39.0,2483.0,24.83,01
39.1,2483.0,24.83,01
39.2,2483.0,24.83,01
40.0,2488.0,24.88,01
40.2,2488.0,24.88,01
41.0,2488.0,24.88,01
41.1,2488.0,24.88,01
41.2,2488.0,24.88,01
42.1,2493.0,24.93,01
42.2,2493.0,24.93,01
43.0,2484.0,24.84,01
44.1,2489.0,24.89,01
44.2,2489.0,24.89,01
45.2,2484.0,24.84,01
47.0,2469.0,24.69,01
47.1,2469.0,24.69,01
47.2,2469.0,24.69,01
48.0,2462.0,24.62,01
48.1,2462.0,24.62,01
48.2,2462.0,24.62,01
50.0,2462.0,24.62,01
50.1,21162.0,24.62,01
50.2,2462.0,24.62,01
51.0,2469.0,24.69,01
51.1,2469.0,24.69,01
51.2,2469.0,24.69,01
52.0,2466.0,24.66,01
52.1,2466.0,24.66,01
52.2,2466.0,24.66,01
53.0,1102464.0,24.64,01
54.0,2463.0,24.63,01
55.0,2466.0,24.66,01
55.1,2466.0,24.66,01
55.2,2466.0,24.66,01
56.0,2465.0,24.65,01
56.1,2465.0,24.65,01
56.2,2465.0,24.65,01
57.0,2465.0,24.65,01
57.1,2465.0,24.65,01
57.2,2465.0,24.65,01
58.0,2463.0,24.63,01
58.1,21183.0,24.83,01
58.2,2483.0,24.83,01
59.1,2484.0,24.84,01
61.0,2486.0,24.86,01
61.2,2485.0,24.85,01
62.1,2484.0,24.84,01
63.1,2483.0,24.83,01
63.2,2483.0,24.83,01
64.2,2485.0,24.85,01
65.0,2483.0,24.83,01
65.1,2483.0,24.83,01
65.2,2483.0,24.83,01
66.2,2489.0,24.89,01
67.1,2489.0,24.89,01
67.2,2489.0,24.89,01
69.0,2486.0,24.86,01
69.1,2486.0,24.86,01
69.2,2486.0,24.86,01
70.0,2480.0,24.8,01
72.0,2483.0,24.83,01
74.0,2488.0,24.88,01
75.1,21188.0,24.88,01
75.2,2488.0,24.88,01
77.2,21180.0,24.8,01
78.0,2439.0,24.89,01
78.1,2439.0,24.89,01
79.0,2433.0,24.83,01
79.2,2433.0,24.83,01
82.0,2466.0,24.66,01
82.1,21166.0,24.66,01
82.2,2466.0,24.66,01
84.0,2430.0,24.8,01
84.1,2430.0,24.8,01
85.0,2473.0,24.73,01
85.1,2433.0,24.83,01
85.2,2433.0,24.83,01
86.0,2432.0,24.82,01
86.1,2432.0,24.82,01
86.2,2432.0,24.82,01
87.0,2436.0,24.86,01
87.1,2436.0,24.86,01
87.2,2436.0,24.86,01
88.0,2483.0,24.83,01
88.1,2483.0,24.83,01
88.2,2483.0,24.83,01
89.1,2484.0,24.84,01
89.2,21184.0,24.84,01
90.0,2483.0,24.83,01
90.2,21183.0,24.83,01
91.1,2490.0,24.9,01
91.2,2490.0,24.9,01
92.0,2485.0,24.85,01
92.1,2485.0,24.85,01
92.2,21185.0,24.85,01
93.0,2483.0,24.83,01
93.1,2483.0,24.83,01
93.2,2483.0,24.83,01
94.0,2483.0,24.83,01
94.2,21183.0,24.83,01
96.1,2483.0,24.83,01
96.2,2483.0,24.83,01
97.1,2488.0,24.88,01
97.2,2488.0,24.88,01
98.0,2483.0,24.83,01
98.1,2483.0,24.83,01
98.2,2483.0,24.83,01
99.0,2435.0,24.85,01
99.1,2435.0,24.85,01
99.2,2435.0,24.85,01
100.2,2439.0,24.89,01
102.0,2435.0,24.85,01
102.1,2435.0,24.85,01
103.2,2430.0,24.8,01
104.0,2435.0,24.85,01
104.1,2435.0,24.85,01
104.2,2435.0,24.85,01
105.0,2436.0,24.86,01
105.1,2436.0,24.86,01
105.2,2436.0,24.86,01
106.0,2436.0,24.86,01
106.1,2436.0,24.86,01
107.0,2438.0,24.88,01
107.2,2438.0,24.88,01
109.0,21183.0,24.83,01
109.1,2483.0,24.83,01
109.2,21183.0,24.83,01
111.0,2486.0,24.86,01
111.1,2486.0,24.86,01
111.2,2486.0,24.86,01
112.0,2485.0,24.85,01
112.1,2485.0,24.85,01
113.1,11021186.0,24.86,01
113.2,2486.0,24.86,01
116.0,2484.0,24.84,01
116.1,2484.0,24.84,01
116.2,21184.0,24.84,01
117.0,2483.0,24.83,01
117.1,2483.0,24.83,01
117.2,2483.0,24.83,01
118.0,2483.0,24.83,01
118.1,2483.0,24.83,01
118.2,2483.0,24.83,01
119.0,2493.0,24.93,01
119.1,2493.0,24.93,01
119.2,2493.0,24.93,01
120.0,21188.0,24.88,01
121.2,2438.0,24.88,01
122.0,2482.0,24.82,01
122.1,2482.0,24.82,01
123.0,2435.0,24.85,01
123.1,2436.0,24.86,01
123.2,2435.0,24.85,01
124.0,2433.0,24.83,01
124.1,2433.0,24.83,01
125.1,2430.0,24.8,01
126.1,2433.0,24.83,01
127.0,2468.0,24.68,01
128.0,21168.0,24.68,01
130.0,2430.0,24.8,01
131.0,2468.0,24.68,01
131.2,2468.0,24.68,01
133.0,2469.0,24.69,01
134.0,2466.0,24.66,01
134.1,2466.0,24.66,01
134.2,2466.0,24.66,01
135.1,2469.0,24.69,01
136.1,2433.0,24.83,01
136.2,2433.0,24.83,01
137.0,2469.0,24.69,01
137.1,21169.0,24.69,01
138.0,2463.0,24.63,01
138.1,2463.0,24.63,01
138.2,2463.0,24.63,01
139.0,2431.0,24.81,01
141.0,2439.0,24.89,01
142.1,21180.0,24.8,01
143.0,21182.0,24.82,01
143.1,21182.0,24.82,01
143.2,21182.0,24.82,01
144.0,2436.0,24.86,01
144.1,2436.0,24.86,01
144.2,2436.0,24.86,01
145.1,21180.0,24.8,01
147.0,2436.0,24.86,01
147.1,2436.0,24.86,01
147.2,2436.0,24.86,01
149.1,2433.0,24.83,01
149.2,2438.0,24.88,01
150.0,2434.0,24.84,01
150.1,2434.0,24.84,01
150.2,2434.0,24.84,01
151.2,21168.0,24.68,01
152.0,2434.0,24.84,01
153.0,2468.0,24.68,01
153.2,21169.0,24.69,01
154.0,2436.0,24.86,01
154.1,2436.0,24.86,01
154.2,2436.0,24.86,01
155.0,2436.0,24.86,01
155.1,2436.0,24.86,01
155.2,2436.0,24.86,01
156.1,2483.0,24.83,01
157.0,21183.0,24.83,01
157.2,2483.0,24.83,01
158.0,2484.0,24.84,01
158.1,2484.0,24.84,01
158.2,2484.0,24.84,01
159.2,2488.0,24.88,01
160.1,2483.0,24.83,01
